dataset_name,path,1_tile,2_tile,3_tile,4_tile,5_tile
"113-ss","../dataset/gsat/113_social_studies.csv",67.81,62.15,56.51,39.56,28.25
"112-ss","../dataset/gsat/112_social_studies.csv",59.92,54.47,43.58,38.13,27.24
"111-ss","../dataset/gsat/111_social_studies.csv",68.85,63.11,57.38,45.90,34.42
"110-ss","../dataset/gsat/110_social_studies.csv",69.42,63.64,52.07,40.50,34.72
"109-ss","../dataset/gsat/109_social_studies.csv",73.51,67.38,55.13,49.01,36.76
"113-ch","../dataset/gsat/113_chinese.csv",63.48,58.19,52.90,42.32,37.03
"112-ch","../dataset/gsat/112_chinese.csv",62.63,57.41,52.19,41.75,36.54
"111-ch","../dataset/gsat/111_chinese.csv",64.08,58.74,48.06,42.72,32.04
"110-ch","../dataset/gsat/110_chinese.csv",64.57,59.19,53.81,43.05,37.67
"109-ch","../dataset/gsat/109_chinese.csv",65.65,65.65,54.71,43.77,38.30
